,address1,address2,MLS Number,sale_price,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size
0,210 Sitter Street,"Pleasant Hill, MO 64080",2178982,15000,Pleasant Hill,Walkers & Sitlers,Single Family,Ranch,4,2,0,1950,1848.0,Public Record,0,Public Record,"12,155",Pleasant Hill,1,"Living Room, Wood Burning",0,"Block, Crawl Space",1,Frame,Traditional,Composition,"City Limits, City Lot, Level, Treed",0,1,"Pub Maint, Paved",1,Forced Air Gas,"Central Electric, Window Unit(s)",City/Public,City/Public,64080,0.27904040404040403
1,115 S Campbell Street,"Pleasant Hill, MO 64080",2198507,18500,Pleasant Hill,Pacific Railroad Add,Single Family,Ranch,2,2,0,1920,1397.0,Public Record,0,Public Record,"10,500",Pleasant Hill,0,,1,Crawl Space,0,Frame,Traditional,Composition,"City Limits, City Lot, Treed",0,1,"Pub Maint, Paved",0,Wall Furnace,None,City/Public,City/Public,64080,0.24104683195592286
2,115 S Campbell Street,"Pleasant Hill, MO 64080",2194371,19500,Pleasant Hill,Pacific Railroad Add,Single Family,Ranch,2,2,0,1920,1397.0,Public Record,0,Public Record,"10,500",Pleasant Hill,0,,1,"Not Finished, Partial",0,Frame,Traditional,Composition,"City Limits, City Lot, Treed",0,1,"Pub Maint, Paved",0,Central Electric,Window Unit(s),City/Public,City/Public,64080,0.24104683195592286
3,201 N State Route E Highway,"Strasburg, MO 64080",2196497,19500,Strasburg,Other,Single Family,1.5 Stories,2,1,0,1836,1088.0,Other,0,Public Record,125X175,Pleasant Hill,0,,0,Crawl Space,1,"Asbestos, Wood Siding","Ante Bellum, Traditional",Composition,"City Lot, Corner Lot, Estate Lot, Level",0,1,Pub Maint,0,Propane Gas,Central Electric,City/Public,Septic,64080,0.5021808999081726
4,204 N Missouri Street,"Archie, MO 64725",2190819,27200,Archie,High School Add,Single Family,Ranch,2,1,0,1971,1176.0,Public Record,0,Public Record,150X130,Archie,0,,0,,1,Lap,,Composition,City Lot,0,1,,1,Forced Air Gas,None,City/Public,City/Public,64725,0.4476584022038568
5,502 W Mill Street,"Strasburg, MO 64090",2185333,28000,Strasburg,Other,Single Family,Ranch,2,1,0,1920,1200.0,Public Record,0,Public Record,4 ac,Strasburg,0,,0,,1,"Frame, Vinyl Siding",Traditional,Composition,"Corner Lot, Level",0,0,,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64090,4.0
6,32102 State Route B Highway,"Garden City, MO 64747",2216224,31501,Garden City,Other,Single Family,Bungalow,2,1,0,1880,1082.0,Public Record,0,Public Record,230868,Archie,1,,0,Crawl Space,1,"Frame, Wood Siding",,Composition,Acreage,1,0,,1,Other,Other,Rural,Septic,64747,5.3
7,6000 E 187th Street,"Belton, MO 64012",2190617,34900,Belton,Other,Single Family,Ranch,2,1,0,1942,760.0,Public Record,0,Public Record,65340,Belton,0,,0,Crawl Space,0,Frame,Traditional,Composition,"Acreage, Level, Treed, Wooded",0,-1,"Pub Maint, Paved",1,Forced Air Gas,Central Electric,"City/Public, Unknown - Verify","Septic, Unknown",64012,1.5
8,121 E Sunrise Drive,"Belton, MO 64012",2199837,35000,Belton,Bel Air Add,Single Family,Ranch,3,2,0,1965,1150.0,Public Record,0,Public Record,"3,264",Belton,0,,0,,0,Other,,Composition,,0,0,,1,Central Gas,Central Electric,City/Public,City/Public,64012,0.07493112947658402
9,709 S Park Avenue,"Garden City, MO 64747",2211145,36000,Garden City,Garden City,Single Family,Ranch,2,1,0,1964,792.0,Public Record,0,Public Record,7754,Sherwood,0,,0,Crawl Space,1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,Paved,1,Radiant,Central Electric,City/Public,City/Public,64747,0.17800734618916436
10,17228 Chula Vista Drive,"Belton, MO 64012",2159907,40000,Belton,West Belton,Single Family,Bungalow,3,2,0,1960,1152.0,Appraisal,0,Appraisal,"17,160",Belton,0,,0,,0,Frame,,Composition,,0,0,,0,Central Gas,Central Gas,City/Public,City/Public,64012,0.3939393939393939
11,403 W Main Street,"Cleveland, MO 64734",2225041,50000,Cleveland,Cleveland,Single Family,Ranch,3,1,1,1900,1307.0,Public Record,0,Public Record,100X172,Cass-Midway,1,Living Room,0,Crawl Space,0,"Brick Trim, Frame",Other,Composition,City Lot,0,1,Paved,0,Natural Gas,None,City/Public,City/Public,64734,0.3948576675849403
12,202 S Halsey Avenue,"Harrisonville, MO 64701",2152911,50000,Harrisonville,Org Town Of Harrisonville,Single Family,2 Stories,3,2,0,1920,1600.0,Other,0,Other,67X115,Harrisonville,0,,0,Crawl Space,1,Wood Siding,Traditional,Composition,City Lot,0,0,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,0.17688246097337007
13,1700 N Lexington Street,"Harrisonville, MO 64701",2202671,50000,Harrisonville,Other,Single Family,Ranch,3,1,0,1940,1305.0,Public Record,0,Public Record,65340,Harrisonville,0,,0,,1,Frame,,Composition,,0,0,,1,Forced Air Gas,Central Electric,City/Public,City/Public,64701,1.5
14,405 E 164th Terrace,"Belton, MO 64012",2201670,50000,Belton,Holmes Hills,Single Family,Ranch,2,1,0,1940,740.0,Public Record,0,Public Record,"15,000",Belton,0,,0,Crawl Space,0,"Frame, Stucco",Traditional,Composition,"City Lot, Estate Lot, Treed",0,0,"Pub Maint, Paved",0,Forced Air Gas,Window Unit(s),City/Public,Unknown,64012,0.3443526170798898
15,23319 Camp Branch Road,"Harrisonville, MO 64080",2170546,55000,Harrisonville,Other,Single Family,Ranch,3,1,1,1990,960.0,Public Record,0,Public Record,5 ac,Pleasant Hill,0,,0,,1,Lap,Traditional,Composition,,0,-1,Gravel,0,Space Heater(s),Window Unit(s),Rural,Septic,64080,5.0
16,216 S Adams Street,"Raymore, MO 64083",2198077,55000,Raymore,Other,Single Family,2 Stories,3,1,1,1900,1708.0,Public Record,0,Other,120X150,Raymore-Peculiar,0,,0,"Cellar, Crawl Space",1,"Frame, Wood Siding","Traditional, Victorian",Composition,"City Limits, Corner Lot, Level, Treed",0,1,Paved,1,Forced Air Gas,Central Electric,City/Public,City/Public,64083,0.4132231404958678
17,600 Lake Road,"Garden City, MO 64747",2212446,56500,Garden City,Hedge Trails,Single Family,Ranch,2,1,0,1974,960.0,Public Record,0,Public Record,78X120,Sherwood,0,,0,Crawl Space,1,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",0,0,,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64747,0.21487603305785125
18,205 W North Avenue,"Belton, MO 64012",2200110,57000,Belton,Scott & Colberns,Single Family,Bungalow,2,1,0,1940,724.0,Public Record,0,Public Record,16530,Belton,0,,0,,1,Vinyl Siding,,Composition,City Lot,0,1,"Pub Maint, Paved",1,Forced Air Electric,Central Electric,City/Public,City/Public,64012,0.37947658402203854
19,83 Spruce Street,"Garden City, MO 64747",2230744,59000,Garden City,Garden West,Single Family,2 Stories,3,2,0,1990,1386.0,Public Record,0,Public Record,1,Sherwood,0,,1,Concrete,1,Other,,Composition,,0,0,,1,Central Electric,Central Electric,City/Public,City/Public,64747,2.295684113865932e-05
20,206 Holden,"East Lynne, MO 64743",2190822,59000,East Lynne,East Lynne,Single Family,Bungalow,2,2,0,1940,1050.0,Public Record,0,Agent,"11,400",East Lynne,0,,0,,1,Frame,Traditional,Composition,"City Limits, Corner Lot, Treed",0,1,Pub Maint,1,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64743,0.26170798898071623
21,32007 E State Route Vv Highway,"Pleasant Hill, MO 64080",2230787,60000,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1940,1040.0,Public Record,0,Agent,"76,666",Pleasant Hill,0,,0,"Block, Crawl Space",1,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Treed",1,-1,,1,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64080,1.7600091827364555
22,204 S Lyne Street,"Raymore, MO 64083",2176162,60000,Raymore,Dikeland,Single Family,Bungalow,3,1,1,1976,924.0,Public Record,0,Public Record,.522 ac,Raymore-Peculiar,0,,0,,1,Vinyl Siding,Other,Other,Acreage,0,-1,Gravel,1,Propane Rented,Central Electric,City/Public - Verify,Other,64083,0.522
23,113 King Avenue,"Belton, MO 64012",2216887,60000,Belton,Countryside Manor,Single Family,1.5 Stories,3,1,0,1910,925.0,Other,0,Public Record,"18,270",Belton,0,,1,Not Finished,1,Vinyl Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",0,1,,0,Forced Air Gas,Window Unit(s),City/Public,City/Public,64012,0.4194214876033058
