,Unnamed: 0,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price,yr_built,town_Archie,town_Belton,town_Cleveland,town_Creighton,town_Drexel,town_East Lynne,town_Freeman,town_Garden City,town_Greenwood,town_Harrisonville,town_Kingsville,town_Lake Winnebago,town_Lees Summit,town_Loch Lloyd,town_Peculiar,town_Pleasant Hill,town_Raymore,town_Strasburg
0,0,"210 Sitter Street Pleasant Hill, MO 64080","4Bedrms2Full Bath(s)0Half Bath(s)1,848Sqft Built in19500.27Acres Single Family",1848,0.27,4,2,0,15000,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,"115 S Campbell Street Pleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,397SqftBuilt in19200.24AcresSingle Family",1397,0.2,2,2,0,18500,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,2,"115 S Campbell Street Pleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,397SqftBuilt in19200.24AcresSingle Family",1397,0.2,2,2,0,19500,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,3,"201 N State Route E Highway Strasburg, MO 64080","2Bedrms1Full Bath(s)0Half Bath(s)1,088SqftBuilt in18360.5AcresSingle Family",1088,0.5,2,1,0,19500,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,4,"204 N Missouri Street Archie, MO 64725","2Bedrms1Full Bath(s)0Half Bath(s)1,176SqftBuilt in1971Single Family",1176,0.2,2,1,0,27200,1971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,"502 W Mill Street Strasburg, MO 64090","2Bedrms1Full Bath(s)0Half Bath(s)1,200SqftBuilt in1920Single Family",1200,0.2,2,1,0,28000,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,6,"32102 State Route B HighwayGarden City, MO 64747","2Bedrms1Full Bath(s)0Half Bath(s)1,082SqftBuilt in18805.3AcresSingle Family",1082,5.0,2,1,0,31501,1880,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,7,"6000 E 187th StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)760SqftBuilt in19421.5AcresSingle Family,760,21.0,2,1,0,34900,1942,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,"121 E Sunrise DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,150SqftBuilt in1965Single Family",1150,0.2,3,2,0,35000,1965,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,"709 S Park AvenueGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)792SqftBuilt in1964Single Family,792,0.2,2,1,0,36000,1964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,10,"202 S Halsey AvenueHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,600SqftBuilt in1920Single Family",1600,0.25,3,2,0,50000,1920,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,11,"1700 N Lexington StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,305SqftBuilt in1940Single Family",1305,0.2,3,1,0,50000,1940,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,12,"405 E 164th TerraceBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)740SqftBuilt in19400.34AcresSingle Family,740,0.34,2,1,0,50000,1940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,"216 S Adams StreetRaymore, MO 64083","3Bedrms1Full Bath(s)1Half Bath(s)1,708SqftBuilt in19000.4AcresSingle Family",1708,0.4,3,1,1,55000,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,15,"205 W North AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)724SqftBuilt in19400.38AcresSingle Family,724,0.4,2,1,0,57000,1940,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,"206 HoldenEast Lynne, MO 64743","2Bedrms2Full Bath(s)0Half Bath(s)1,050SqftBuilt in1940Single Family",1050,0.2,2,2,0,59000,1940,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,17,"204 S Lyne StreetRaymore, MO 64083",3Bedrms1Full Bath(s)1Half Bath(s)924SqftBuilt in1976Single Family,924,0.2,3,1,1,60000,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,18,"113 King AvenueBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)925SqftBuilt in1910Single Family,925,0.2,3,1,0,60000,1910,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,"1109 S Lexington StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)1Half Bath(s)1,468SqftBuilt in1920Single Family",1468,0.2,3,1,1,60000,1920,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,20,"24811 S King RoadPeculiar, MO 64078","5Bedrms3Full Bath(s)0Half Bath(s)1,620SqftBuilt in19911AcresSingle Family",1620,0.2,5,3,0,60100,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21,21,"321 N Independence StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,277SqftBuilt in0Single Family",1277,0.2,3,2,0,64000,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,22,"219 S Randolph StreetPleasant Hill, MO 64080",3Bedrms1Full Bath(s)0Half Bath(s)886SqftBuilt in1920Single Family,886,0.2,3,1,0,65000,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23,23,"115 Spencer StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,622SqftBuilt in19640.66AcresSingle Family",1622,0.66,3,2,0,65000,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,24,"16202 S Scott RoadPleasant Hill, MO 64080",2Bedrms1Full Bath(s)0Half Bath(s)924SqftBuilt in19832AcresSingle Family,924,2.0,2,1,0,65000,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,25,"704 2nd StreetBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,108SqftBuilt in1920Single Family",1108,0.2,3,1,0,66000,1920,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,"306 N Monroe StreetEast Lynne, MO 64743",3Bedrms2Full Bath(s)0Half Bath(s)Built in1972Single Family,1105,0.2,3,2,0,66000,1972,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
