,address1,address2,MLS Number,delme,sale_price,County,City,Sub Div,Type,Floor Plan Description,Bdrms,Baths Full,Baths Half,Year Built,Sqft Main,SQFT MAIN SOURCE,Below Grade Finished Sq Ft,Below Grade Finished Sq Ft Source,Lot Size,School District,Fireplace?,Fireplace Description,Basement,Basement Description,Garage/Parking?,Construction,Architecture,Roof,Lot Description,In Floodplain,Inside City Limits,Street Maintenance,Central Air,Heat,Cool,Water,Sewer,zip_code,lot_size2,lot_size3
0,403 W Main Street,"Cleveland, MO 64734",2225041,Map,50000,Cass,Cleveland,Cleveland,Single Family,Ranch,3,1,1,1900,1307,Public Record,0,Public Record,100X172,Cass-Midway,Y,Living Room,N,Crawl Space,N,"Brick Trim, Frame",Other,Composition,City Lot,No,Yes,Paved,N,Natural Gas,None,City/Public,City/Public,64734,TRUE,TRUE
1,600 Lake Road,"Garden City, MO 64747",2212446,Map,56500,Cass,Garden City,Hedge Trails,Single Family,Ranch,2,1,0,1974,960,Public Record,0,Public Record,78X120,Sherwood,N,,N,Crawl Space,Y,"Frame, Vinyl Siding",Traditional,Composition,"City Lot, Corner Lot",No,,,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64747,TRUE,FALSE
2,83 Spruce Street,"Garden City, MO 64747",2230744,Map,59000,Cass,Garden City,Garden West,Single Family,2 Stories,3,2,0,1990,1386,Public Record,0,Public Record,1,Sherwood,N,,Y,Concrete,Y,Other,,Composition,,No,,,Y,Central Electric,Central Electric,City/Public,City/Public,64747,FALSE,TRUE
3,32007 E State Route Vv Highway,"Pleasant Hill, MO 64080",2230787,Map,60000,Cass,Pleasant Hill,Other,Single Family,Ranch,2,1,0,1940,1040,Public Record,0,Agent,"76,666",Pleasant Hill,N,,N,"Block, Crawl Space",Y,"Frame, Vinyl Siding",Traditional,Composition,"Acreage, Treed",Yes,No,,Y,"Forced Air Gas, Propane Gas",Central Electric,City/Public,Septic,64080,FALSE,TRUE
4,304 E South Street,"Harrisonville, MO 64701",2235734,Map,68700,Cass,Harrisonville,Other,Single Family,Other,3,1,0,1960,1512,Public Record,0,Public Record,85X175,Harrisonville,N,,Y,"Full, Not Finished",N,Frame,,Composition,,No,,,Y,Natural Gas,Central Electric,City/Public,City/Public,64701,TRUE,FALSE
5,106 Sharon Lane,"Garden City, MO 64747",2207265,Map,73450,Cass,Garden City,Garden West,Single Family,"1.5 Stories, Earth Contact",3,2,0,1982,1422,Public Record,0,Public Record,"19,928",Sherwood,Y,"Gas, Gas Starter, Living Room",N,,Y,"Brick & Frame, Log",Traditional,Composition,"City Limits, City Lot, Estate Lot, Treed",No,Yes,Pub Maint,Y,"Forced Air Electric, Natural Gas",Central Electric,City/Public,City/Public,64747,FALSE,TRUE
6,500 E 164th Terrace,"Belton, MO 64012",2223300,Map,82000,Cass,Belton,Holmes Hills,Single Family,Ranch,3,1,0,1990,1890,RPR,0,Owner,14810,Belton,N,,N,,N,Frame,,Composition,,Unknown,,,N,Forced Air Gas,Window Unit(s),City/Public,Septic,64012,FALSE,TRUE
7,24504 S Old Trail Road,"Harrisonville, MO 64701",2220017,Map,87500,Cass,Harrisonville,Other,Single Family,Ranch,3,1,0,1950,1448,Public Record,0,Public Record,3 ac,East Lynne,N,,N,"Block, Partial",Y,Vinyl Siding,Traditional,Composition,,Unknown,,,N,"Radiant, Wood Burn Stove",Window Unit(s),City/Public - Verify,Septic,64701,FALSE,TRUE
8,703 E Mechanic Street,"Harrisonville, MO 64701",2220355,Map,89700,Cass,Harrisonville,Org Town Of Harrisonville,Single Family,Ranch,3,1,0,1890,1410,Public Record,0,Public Record,90X181,Harrisonville,N,,Y,"Concrete, Stone/Rock",Y,Asbestos,,Composition,,No,Yes,Pub Maint,Y,"Forced Air Gas, Natural Gas",Central Electric,City/Public,City/Public,64701,TRUE,FALSE
9,1324 W Campbell Boulevard,"Raymore, MO 64083",2231348,Map,90000,Cass,Raymore,Foxwood Springs,Patio/Villa,Ranch,2,2,0,1980,1386,Public Record,0,Public Record,38X150,Raymore-Peculiar,N,,N,,Y,Board/Batten,Traditional,Composition,"City Lot, Level",No,Yes,"Pub Maint, Paved",Y,Forced Air Gas,Central Electric,City/Public,City/Public,64083,TRUE,FALSE
10,1206 N Mullen Street,"Raymore, MO 64083",2223072,Map,93000,Cass,Raymore,Mullendike,Single Family,Ranch,2,1,0,1968,912,Public Record,0,Public Record,19040,Raymore-Peculiar,N,,Y,"Concrete, Full, Walk Out",Y,Frame,Traditional,Composition,Level,No,,,Y,Natural Gas,Central Electric,City/Public,City/Public,64083,FALSE,TRUE
11,215 W North Avenue,"Belton, MO 64012",2216526,Map,95000,Cass,Belton,Scott & Colberns,Single Family,"Bungalow, Ranch",2,1,0,1952,870,RPR,0,RPR,8265,Belton,N,,N,Crawl Space,Y,Wood Siding,Traditional,Composition,"City Lot, Corner Lot, Treed",No,Yes,"Pub Maint, Paved",N,Forced Air Gas,Window Unit(s),City/Public,City/Public,64012,FALSE,TRUE
12,402 W Innes Street,"Pleasant Hill, MO 64080",2230416,Map,99000,Cass,Pleasant Hill,Strasburg,Single Family,Ranch,2,1,0,1978,728,Public Record,0,Public Record,100X125,Pleasant Hill,N,,N,Crawl Space,Y,Cedar,Traditional,Composition,,No,Yes,Pub Maint,Y,Central Electric,Central Electric,City/Public - Verify,Septic,64080,TRUE,FALSE
13,3 Belmo Drive,"Belton, MO 64012",2223053,Map,102000,Cass,Belton,Belmo Gardens,Single Family,Ranch,3,1,0,1954,960,Public Record,0,Public Record,6000,Belton,N,,N,,N,Block,Traditional,Composition,,No,,,N,Central Gas,Central Gas,City/Public,City/Public,64012,FALSE,TRUE
14,526 Indian Trail,"Belton, MO 64012",2229303,Map,102500,Cass,Belton,Cimarron Trails,Half Duplex,Ranch,3,1,0,1960,1160,Public Record,250,Other,"8,750",Belton,N,,Y,Inside Entrance,N,Board/Batten,Traditional,Composition,"Adjoin Greenspace, Treed",,,,Y,Forced Air Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
15,10 S 5th Street,"Cleveland, MO 64734",2215086,Map,103000,Cass,Cleveland,Other,Single Family,Ranch,3,1,0,1971,1040,Public Record,0,Other,.448 ac,Cass-Midway,N,,Y,"Concrete, Full, Inside Entrance",Y,Board/Batten,,Composition,,No,Yes,Pub Maint,Y,Central Gas,"Attic Fan, Central Electric",City/Public,City/Public,64734,FALSE,TRUE
16,204 S Washington Street,"Freeman, MO 64746",2217945,Map,105000,Cass,Freeman,Freeman,Single Family,"Bungalow, Ranch",3,2,0,1910,1084,Public Record,0,Public Record,10800,Cass-Midway,N,,N,Crawl Space,N,Frame,,Composition,"City Lot, Level, Treed",No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64746,FALSE,TRUE
17,123 Hollywood Boulevard,"Belton, MO 64012",2202099,Map,105000,Cass,Belton,Georgia Lane,Single Family,Ranch,2,1,0,1954,768,Other,0,Other,"9,620",Belton,N,,N,Crawl Space,Y,Vinyl Siding,Traditional,Composition,"City Lot, Level, Treed",No,,,Y,Central Gas,Central Electric,City/Public,City/Public,64012,FALSE,TRUE
