,address,description,sqft,lot_size,bedrooms,bathrooms,half_baths,sale_price
0,"210 Sitter Street Pleasant Hill, MO 64080","4Bedrms2Full Bath(s)0Half Bath(s)1,848Sqft Built in19500.27Acres Single Family",1848,0.27,4,2,0,15000
1,"115 S Campbell Street Pleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,397SqftBuilt in19200.24AcresSingle Family",1397,0.2,2,2,0,18500
2,"115 S Campbell Street Pleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,397SqftBuilt in19200.24AcresSingle Family",1397,0.2,2,2,0,19500
3,"201 N State Route E Highway Strasburg, MO 64080","2Bedrms1Full Bath(s)0Half Bath(s)1,088SqftBuilt in18360.5AcresSingle Family",1088,0.5,2,1,0,19500
4,"204 N Missouri Street Archie, MO 64725","2Bedrms1Full Bath(s)0Half Bath(s)1,176SqftBuilt in1971Single Family",1176,0.2,2,1,0,27200
5,"502 W Mill Street Strasburg, MO 64090","2Bedrms1Full Bath(s)0Half Bath(s)1,200SqftBuilt in1920Single Family",1200,0.2,2,1,0,28000
6,"32102 State Route B HighwayGarden City, MO 64747","2Bedrms1Full Bath(s)0Half Bath(s)1,082SqftBuilt in18805.3AcresSingle Family",1082,5,2,1,0,31501
7,"6000 E 187th StreetBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)760SqftBuilt in19421.5AcresSingle Family,760,21,2,1,0,34900
8,"121 E Sunrise DriveBelton, MO 64012","3Bedrms2Full Bath(s)0Half Bath(s)1,150SqftBuilt in1965Single Family",1150,0.2,3,2,0,35000
9,"709 S Park AvenueGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)792SqftBuilt in1964Single Family,792,0.2,2,1,0,36000
10,"202 S Halsey AvenueHarrisonville, MO 64701","3Bedrms2Full Bath(s)0Half Bath(s)1,600SqftBuilt in1920Single Family",1600,0.25,3,2,0,50000
11,"1700 N Lexington StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)0Half Bath(s)1,305SqftBuilt in1940Single Family",1305,0.2,3,1,0,50000
12,"405 E 164th TerraceBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)740SqftBuilt in19400.34AcresSingle Family,740,0.34,2,1,0,50000
13,"23319 Camp Branch RoadHarrisonville, MO 64080",3Bedrms1Full Bath(s)1Half Bath(s)960SqftSingle Family,960,0.54,3,1,1,55000
14,"216 S Adams StreetRaymore, MO 64083","3Bedrms1Full Bath(s)1Half Bath(s)1,708SqftBuilt in19000.4AcresSingle Family",1708,0.4,3,1,1,55000
15,"205 W North AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)724SqftBuilt in19400.38AcresSingle Family,724,0.4,2,1,0,57000
16,"206 HoldenEast Lynne, MO 64743","2Bedrms2Full Bath(s)0Half Bath(s)1,050SqftBuilt in1940Single Family",1050,0.2,2,2,0,59000
17,"204 S Lyne StreetRaymore, MO 64083",3Bedrms1Full Bath(s)1Half Bath(s)924SqftBuilt in1976Single Family,924,0.2,3,1,1,60000
18,"113 King AvenueBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)925SqftBuilt in1910Single Family,925,0.2,3,1,0,60000
19,"1109 S Lexington StreetHarrisonville, MO 64701","3Bedrms1Full Bath(s)1Half Bath(s)1,468SqftBuilt in1920Single Family",1468,0.2,3,1,1,60000
20,"24811 S King RoadPeculiar, MO 64078","5Bedrms3Full Bath(s)0Half Bath(s)1,620SqftBuilt in19911AcresSingle Family",1620,0.2,5,3,0,60100
21,"321 N Independence StreetPleasant Hill, MO 64080","3Bedrms2Full Bath(s)0Half Bath(s)1,277SqftBuilt in0Single Family",1277,0.2,3,2,0,64000
22,"219 S Randolph StreetPleasant Hill, MO 64080",3Bedrms1Full Bath(s)0Half Bath(s)886SqftBuilt in1920Single Family,886,0.2,3,1,0,65000
23,"115 Spencer StreetPeculiar, MO 64078","3Bedrms2Full Bath(s)0Half Bath(s)1,622SqftBuilt in19640.66AcresSingle Family",1622,0.66,3,2,0,65000
24,"16202 S Scott RoadPleasant Hill, MO 64080",2Bedrms1Full Bath(s)0Half Bath(s)924SqftBuilt in19832AcresSingle Family,924,2,2,1,0,65000
25,"704 2nd StreetBelton, MO 64012","3Bedrms1Full Bath(s)0Half Bath(s)1,108SqftBuilt in1920Single Family",1108,0.2,3,1,0,66000
26,"306 N Monroe StreetEast Lynne, MO 64743",3Bedrms2Full Bath(s)0Half Bath(s)Built in1972Single Family,1105,0.2,3,2,0,66000
27,"700 Locust StreetPleasant Hill, MO 64080","3Bedrms1Full Bath(s)0Half Bath(s)1,267SqftBuilt in18700.2AcresSingle Family",1267,0.2,3,1,0,66000
28,"306 Cline StreetPleasant Hill, MO 64080",2Bedrms1Full Bath(s)0Half Bath(s)572SqftBuilt in1950Single Family,572,0.2,2,1,0,67750
29,"1301 S Butler DriveHarrisonville, MO 64701",3Bedrms1Full Bath(s)0Half Bath(s)864SqftBuilt in1955Single Family,864,0.2,3,1,0,69500
30,"23610 E 175th StreetPleasant Hill, MO 64080","2Bedrms2Full Bath(s)0Half Bath(s)1,526SqftBuilt in19204AcresSingle Family",1526,4,2,2,0,69750
31,"501 S 5th StreetGarden City, MO 64747",2Bedrms1Full Bath(s)0Half Bath(s)972SqftBuilt in1890Single Family,972,0.2,2,1,0,70500
32,"615 N 2nd StreetCreighton, MO 64739",2Bedrms1Full Bath(s)0Half Bath(s)720SqftBuilt in1960Single Family,720,0.2,2,1,0,71000
33,"17228 Monte Verde DriveBelton, MO 64012",3Bedrms1Full Bath(s)0Half Bath(s)940SqftBuilt in1958Single Family,940,0.2,3,1,0,71000
34,"109 Berry AvenueBelton, MO 64012",2Bedrms1Full Bath(s)0Half Bath(s)675SqftSingle Family,675,0.2,2,1,0,72000
35,"1107 Green StreetHarrisonville, MO 64701","2Bedrms1Full Bath(s)0Half Bath(s)1,698SqftBuilt in1906Single Family",1698,0.25,2,1,0,72000
